from,to,value,id
Publishing,> 50 days,156,1000002330-1
> 50 days,failed,156,1000002330-2
failed,< 10%,156,1000002330-3
US,Film & Video,4330,1000003930-0
Film & Video,> 50 days,4330,1000003930-1
> 50 days,failed,4330,1000003930-2
failed,< 10%,4330,1000003930-3
US,Film & Video,2061,1000004038-0
Film & Video,40-50 days,2061,1000004038-1
40-50 days,failed,2061,1000004038-2
failed,< 10%,2061,1000004038-3
US,Music,6619,1000007540-0
Music,20-30 days,6619,1000007540-1
20-30 days,failed,6619,1000007540-2
failed,< 10%,6619,1000007540-3
US,Film & Video,898,1000011046-0
Film & Video,> 50 days,898,1000011046-1
> 50 days,canceled,898,1000011046-2
canceled,< 10%,898,1000011046-3
US,Food,633,1000014025-0
Food,30-50 days,633,1000014025-1
30-50 days,successful,633,1000014025-2
successful,100% - 120%,633,1000014025-3
US,Food,125,1000023410-0
Food,10-20 days,125,1000023410-1
10-20 days,successful,125,1000023410-2
successful,120% - 200%,125,1000023410-3
US,Food,835,1000030581-0
Food,40-50 days,835,1000030581-1
40-50 days,failed,835,1000030581-2
failed,< 10%,835,1000030581-3
US,Design,340,1000034518-0
Design,30-50 days,340,1000034518-1
30-50 days,canceled,340,1000034518-2
canceled,< 10%,340,1000034518-3
US,Film & Video,1737,100004195-0
Film & Video,20-30 days,1737,100004195-1
20-30 days,canceled,1737,100004195-2
canceled,< 10%,1737,100004195-3
CA,Publishing,440,100004721-0
Publishing,20-30 days,440,100004721-1
20-30 days,failed,440,100004721-2
failed,< 10%,440,100004721-3
US,Music,7285,100005484-0
Music,20-30 days,7285,100005484-1
20-30 days,successful,7285,100005484-2
successful,100% - 120%,7285,100005484-3
US,Crafts,2206,1000055792-0
Crafts,20-30 days,2206,1000055792-1
20-30 days,failed,2206,1000055792-2
failed,< 10%,2206,1000055792-3
US,Games,590,1000056157-0
Games,40-50 days,590,1000056157-1
40-50 days,failed,590,1000056157-2
failed,< 10%,590,1000056157-3
GB,Games,417,1000057089-0
Games,20-30 days,417,1000057089-1
20-30 days,successful,417,1000057089-2
successful,> 200%,417,1000057089-3
US,Design,734,1000064368-0
Design,20-30 days,734,1000064368-1
20-30 days,failed,734,1000064368-2
failed,25% - 50%,734,1000064368-3
US,Comics,285,1000064918-0
Comics,20-30 days,285,1000064918-1
20-30 days,failed,285,1000064918-2
failed,25% - 50%,285,1000064918-3
US,Publishing,931,1000068480-0
Publishing,20-30 days,931,1000068480-1
20-30 days,failed,931,1000068480-2
failed,25% - 50%,931,1000068480-3
US,Music,911,1000070642-0
Music,10-20 days,911,1000070642-1
10-20 days,successful,911,1000070642-2
successful,100% - 120%,911,1000070642-3
US,Food,596,1000071625-0
Food,20-30 days,596,1000071625-1
20-30 days,failed,596,1000071625-2
failed,25% - 50%,596,1000071625-3
US,Fashion,256,1000072011-0
Fashion,30-50 days,256,1000072011-1
30-50 days,successful,256,1000072011-2
successful,120% - 200%,256,1000072011-3
AU,Fashion,226,1000081649-0
Fashion,20-30 days,226,1000081649-1
20-30 days,failed,226,1000081649-2
failed,< 10%,226,1000081649-3
US,Theater,261,1000082254-0
Theater,20-30 days,261,1000082254-1
20-30 days,failed,261,1000082254-2
failed,10% - 25%,261,1000082254-3
NO,Food,18,1000087442-0
Food,20-30 days,18,1000087442-1
20-30 days,failed,18,1000087442-2
failed,< 10%,18,1000087442-3
US,Comics,158,1000091520-0
Comics,10-20 days,158,1000091520-1
10-20 days,successful,158,1000091520-2
successful,> 200%,158,1000091520-3
US,Music,3084,1000102741-0
Music,20-30 days,3084,1000102741-1
20-30 days,successful,3084,1000102741-2
successful,120% - 200%,3084,1000102741-3
GB,Crafts,296,1000103948-0
Crafts,20-30 days,296,1000103948-1
20-30 days,failed,296,1000103948-2
failed,< 10%,296,1000103948-3
CA,Film & Video,19,1000104688-0
Film & Video,20-30 days,19,1000104688-1
20-30 days,successful,19,1000104688-2
successful,> 200%,19,1000104688-3
GB,Comics,98,1000104953-0
Comics,20-30 days,98,1000104953-1
20-30 days,successful,98,1000104953-2
successful,100% - 120%,98,1000104953-3
US,Film & Video,7134,100011318-0
Film & Video,20-30 days,7134,100011318-1
20-30 days,successful,7134,100011318-2
successful,100% - 120%,7134,100011318-3
GB,Food,608,1000115172-0
Food,20-30 days,608,1000115172-1
20-30 days,failed,608,1000115172-2
failed,< 10%,608,1000115172-3
US,Design,927,1000117861-0
Design,30-50 days,927,1000117861-1
30-50 days,successful,927,1000117861-2
successful,> 200%,927,1000117861-3
AU,Design,54,1000120151-0
Design,20-30 days,54,1000120151-1
20-30 days,successful,54,1000120151-2
successful,100% - 120%,54,1000120151-3
US,Art,749,1000120287-0
Art,30-50 days,749,1000120287-1
30-50 days,failed,749,1000120287-2
failed,< 10%,749,1000120287-3
US,Film & Video,1889,1000129669-0
Film & Video,20-30 days,1889,1000129669-1
20-30 days,failed,1889,1000129669-2
failed,10% - 25%,1889,1000129669-3
US,Music,737,1000131947-0
Music,20-30 days,737,1000131947-1
20-30 days,successful,737,1000131947-2
successful,> 200%,737,1000131947-3
US,Film & Video,2534,1000132945-0
Film & Video,20-30 days,2534,1000132945-1
20-30 days,successful,2534,1000132945-2
successful,120% - 200%,2534,1000132945-3
CA,Publishing,1,1000149007-0
Publishing,> 50 days,1,1000149007-1
> 50 days,live,1,1000149007-2
live,10% - 25%,1,1000149007-3
US,Photography,383,1000160286-0
Photography,20-30 days,383,1000160286-1
20-30 days,successful,383,1000160286-2
successful,120% - 200%,383,1000160286-3
